iter	Passed	Remaining
0	131	130897
1	135	67401
2	137	45837
3	140	34947
4	142	28378
5	145	24043
6	147	20958
7	150	18672
8	153	16868
9	155	15437
10	158	14232
11	160	13225
12	163	12391
13	165	11636
14	167	11000
15	169	10435
16	171	9917
17	173	9478
18	175	9086
19	178	8729
20	180	8401
21	182	8121
22	185	7858
23	186	7602
24	189	7392
25	191	7176
26	193	6969
27	195	6782
28	197	6624
29	200	6469
30	202	6316
31	204	6179
32	206	6050
33	208	5923
34	210	5800
35	212	5688
36	214	5580
37	216	5472
38	217	5366
39	219	5273
40	221	5171
41	222	5071
42	223	4979
43	224	4886
44	226	4801
45	227	4714
46	228	4628
47	229	4550
48	230	4471
49	231	4402
50	232	4335
51	234	4269
52	235	4209
53	237	4152
54	238	4094
55	239	4036
56	240	3978
57	241	3927
58	243	3883
59	244	3837
60	246	3793
61	248	3752
62	249	3711
63	251	3671
64	252	3629
65	253	3591
66	255	3554
67	256	3515
68	258	3481
69	259	3450
70	261	3421
71	263	3392
72	264	3361
73	266	3330
74	267	3298
75	268	3267
76	270	3237
77	271	3209
78	273	3183
79	274	3158
80	276	3131
81	277	3105
82	278	3073
83	279	3050
84	281	3028
85	282	3005
86	284	2982
87	285	2958
88	286	2937
89	288	2914
90	289	2893
91	290	2871
92	292	2853
93	294	2838
94	295	2817
95	297	2801
96	299	2783
97	300	2765
98	301	2745
99	303	2727
100	304	2706
101	305	2687
102	306	2668
103	307	2650
104	308	2633
105	310	2618
106	311	2601
107	313	2587
108	314	2570
109	315	2555
110	316	2538
111	318	2521
112	319	2507
113	320	2492
114	321	2477
115	323	2461
116	323	2444
117	325	2430
118	326	2415
119	327	2402
120	329	2391
121	330	2376
122	331	2363
123	332	2350
124	333	2335
125	334	2322
126	335	2309
127	337	2298
128	338	2288
129	340	2277
130	341	2268
131	343	2258
132	344	2248
133	346	2237
134	347	2226
135	349	2217
136	350	2208
137	351	2196
138	353	2187
139	354	2177
140	355	2167
141	356	2155
142	357	2144
143	359	2136
144	360	2128
145	362	2119
146	363	2111
147	365	2102
148	366	2094
149	368	2085
150	369	2077
151	371	2070
152	372	2061
153	373	2053
154	375	2045
155	376	2038
156	378	2030
157	379	2022
158	381	2015
159	382	2008
160	383	1998
161	385	1991
162	386	1985
163	387	1977
164	389	1970
165	391	1966
166	392	1959
167	394	1951
168	395	1944
169	396	1937
170	398	1931
171	399	1924
172	401	1918
173	402	1912
174	404	1907
175	406	1903
176	408	1897
177	409	1892
178	410	1884
179	411	1876
180	413	1870
181	414	1863
182	415	1857
183	417	1849
184	418	1841
185	418	1833
186	419	1825
187	420	1817
188	422	1810
189	423	1803
190	424	1796
191	425	1791
192	426	1784
193	427	1777
194	428	1770
195	430	1764
196	431	1758
197	432	1751
198	433	1744
199	434	1738
200	435	1732
201	437	1726
202	438	1721
203	439	1716
204	441	1711
205	442	1705
206	443	1700
207	445	1695
208	446	1690
209	447	1685
210	449	1680
211	451	1676
212	452	1672
213	454	1667
214	455	1663
215	457	1659
216	458	1656
217	460	1651
218	461	1646
219	463	1642
220	464	1638
221	466	1635
222	468	1632
223	470	1628
224	471	1625
225	473	1621
226	475	1618
227	476	1614
228	478	1611
229	480	1608
230	481	1604
231	483	1599
232	484	1596
233	486	1593
234	488	1590
235	491	1589
236	492	1585
237	493	1580
238	495	1576
239	496	1571
240	497	1567
241	499	1563
242	500	1558
243	501	1554
244	503	1550
245	504	1545
246	505	1541
247	506	1536
248	507	1531
249	508	1526
250	509	1521
251	511	1516
252	512	1512
253	513	1507
254	514	1502
255	515	1498
256	516	1493
257	517	1488
258	520	1489
259	522	1485
260	523	1482
261	524	1478
262	525	1473
263	527	1470
264	528	1466
265	529	1461
266	530	1456
267	531	1452
268	532	1447
269	533	1442
270	534	1437
271	535	1432
272	536	1427
273	537	1423
274	538	1418
275	539	1414
276	540	1409
277	541	1405
278	542	1401
279	543	1397
280	544	1392
281	545	1388
282	546	1384
283	547	1379
284	548	1375
285	549	1371
286	550	1366
287	550	1362
288	551	1357
289	552	1353
290	553	1348
291	554	1344
292	555	1339
293	556	1335
294	556	1330
295	557	1326
296	558	1321
297	559	1317
298	560	1313
299	560	1308
300	561	1304
301	562	1300
302	563	1296
303	564	1291
304	565	1287
305	565	1283
306	566	1278
307	567	1274
308	568	1270
309	569	1266
310	569	1262
311	570	1258
312	571	1254
313	572	1250
314	573	1246
315	574	1242
316	575	1239
317	575	1235
318	576	1231
319	577	1227
320	578	1223
321	579	1220
322	580	1217
323	581	1213
324	582	1210
325	583	1206
326	584	1203
327	585	1199
328	586	1196
329	588	1194
330	589	1190
331	590	1187
332	591	1184
333	592	1181
334	593	1177
335	594	1174
336	594	1170
337	595	1167
338	597	1164
339	598	1161
340	599	1158
341	600	1155
342	601	1152
343	603	1149
344	603	1146
345	604	1143
346	605	1140
347	607	1137
348	608	1134
349	609	1132
350	610	1129
351	611	1126
352	612	1123
353	613	1120
354	614	1117
355	615	1114
356	617	1111
357	618	1108
358	618	1105
359	619	1101
360	620	1098
361	621	1095
362	622	1092
363	623	1088
364	623	1085
365	624	1081
366	625	1078
367	626	1075
368	627	1072
369	628	1069
370	629	1067
371	630	1063
372	631	1060
373	632	1057
374	632	1054
375	633	1051
376	634	1048
377	635	1044
378	635	1041
379	636	1039
380	637	1036
381	638	1033
382	639	1030
383	641	1028
384	641	1025
385	642	1022
386	643	1018
387	643	1015
388	644	1012
389	645	1009
390	646	1006
391	647	1003
392	648	1000
393	649	998
394	650	996
395	651	993
396	652	990
397	652	987
398	653	984
399	654	981
400	655	979
401	656	977
402	657	974
403	658	971
404	659	968
405	660	965
406	660	962
407	661	960
408	662	957
409	663	955
410	664	952
411	665	950
412	666	947
413	667	945
414	668	942
415	669	940
416	670	937
417	671	935
418	672	933
419	673	930
420	674	927
421	675	925
422	676	923
423	677	920
424	678	917
425	679	915
426	680	912
427	681	910
428	681	907
429	682	905
430	683	902
431	684	899
432	685	897
433	686	895
434	687	892
435	688	890
436	689	887
437	689	885
438	690	882
439	691	879
440	692	877
441	692	874
442	693	872
443	694	869
444	695	867
445	696	864
446	697	862
447	697	859
448	698	857
449	699	855
450	700	852
451	701	850
452	702	847
453	702	845
454	703	842
455	704	840
456	705	838
457	706	835
458	706	833
459	707	830
460	708	828
461	709	826
462	710	823
463	711	821
464	711	818
465	712	816
466	713	814
467	714	812
468	715	809
469	716	807
470	717	806
471	718	803
472	719	801
473	720	799
474	721	797
475	722	794
476	722	792
477	723	790
478	724	788
479	725	786
480	726	784
481	727	782
482	728	779
483	729	777
484	730	775
485	731	773
486	732	771
487	733	769
488	734	767
489	735	765
490	735	762
491	736	760
492	737	758
493	738	756
494	739	754
495	740	751
496	740	749
497	741	747
498	742	745
499	743	743
500	744	741
501	744	738
502	745	736
503	746	734
504	747	732
505	747	730
506	748	728
507	749	726
508	750	723
509	751	721
510	751	719
511	752	717
512	753	715
513	754	712
514	754	710
515	755	708
516	756	706
517	757	704
518	757	702
519	758	700
520	759	698
521	759	695
522	760	693
523	761	691
524	762	689
525	762	687
526	763	685
527	764	683
528	765	681
529	765	679
530	766	677
531	767	674
532	768	672
533	768	670
534	769	668
535	770	666
536	770	664
537	771	662
538	772	660
539	773	659
540	775	657
541	776	656
542	777	654
543	778	652
544	780	651
545	781	649
546	782	647
547	783	645
548	784	644
549	785	642
550	786	640
551	787	638
552	788	637
553	789	635
554	790	633
555	791	631
556	792	630
557	793	628
558	794	626
559	795	625
560	796	623
561	797	621
562	798	620
563	800	618
564	801	616
565	802	615
566	803	613
567	805	612
568	806	611
569	808	609
570	809	608
571	810	606
572	811	604
573	812	602
574	813	601
575	814	599
576	815	598
577	816	596
578	818	594
579	819	593
580	820	591
581	821	589
582	822	588
583	823	586
584	824	584
585	825	582
586	826	581
587	827	579
588	828	578
589	829	576
590	830	574
591	831	572
592	832	571
593	833	569
594	834	568
595	835	566
596	836	564
597	838	563
598	839	561
599	840	560
600	841	558
601	843	557
602	844	555
603	845	554
604	846	552
605	847	551
606	848	549
607	849	548
608	850	546
609	851	544
610	853	543
611	854	541
612	855	540
613	856	538
614	857	536
615	858	535
616	859	533
617	860	532
618	861	530
619	862	528
620	863	527
621	865	525
622	866	524
623	867	522
624	868	520
625	869	519
626	870	517
627	871	516
628	872	514
629	873	513
630	874	511
631	875	509
632	876	508
633	877	506
634	878	504
635	878	503
636	879	501
637	880	499
638	881	498
639	882	496
640	883	495
641	885	493
642	886	492
643	887	490
644	888	488
645	889	487
646	890	486
647	891	484
648	892	482
649	893	481
650	894	479
651	895	478
652	897	476
653	898	475
654	899	473
655	900	472
656	901	470
657	902	469
658	903	467
659	904	466
660	905	464
661	906	463
662	907	461
663	909	460
664	910	458
665	911	456
666	912	455
667	913	454
668	914	452
669	916	451
670	917	449
671	918	448
672	919	446
673	920	445
674	921	443
675	922	442
676	924	440
677	925	439
678	926	437
679	927	436
680	928	434
681	929	433
682	930	431
683	931	430
684	932	428
685	933	427
686	934	425
687	935	424
688	936	422
689	937	421
690	938	419
691	939	418
692	940	416
693	941	415
694	942	413
695	943	412
696	944	410
697	945	409
698	946	407
699	947	405
700	948	404
701	949	402
702	950	401
703	950	399
704	951	398
705	952	396
706	953	395
707	954	393
708	954	391
709	955	390
710	956	388
711	957	387
712	958	385
713	959	384
714	960	382
715	961	381
716	962	379
717	963	378
718	963	376
719	964	375
720	965	373
721	966	372
722	967	370
723	968	369
724	968	367
725	969	366
726	970	364
727	971	362
728	972	361
729	973	359
730	974	358
731	974	356
732	975	355
733	976	353
734	977	352
735	978	350
736	979	349
737	980	347
738	980	346
739	981	344
740	982	343
741	983	341
742	984	340
743	985	338
744	985	337
745	986	335
746	987	334
747	988	332
748	988	331
749	989	329
750	990	328
751	991	326
752	992	325
753	992	323
754	993	322
755	994	321
756	995	319
757	996	318
758	997	316
759	997	315
760	998	313
761	999	312
762	1000	310
763	1001	309
764	1002	307
765	1003	306
766	1004	305
767	1004	303
768	1006	302
769	1007	300
770	1008	299
771	1009	298
772	1010	296
773	1011	295
774	1011	293
775	1013	292
776	1014	291
